Layer	Feature	Classes/Functions	Android	iOS	WP7	BBy	J2ME	Moblin	MoRE	Sym	WinMo	Notes
C++	Advertising	Ads::Banner	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C++	Advertising	Ads::BannerListener	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C	Advertising	maAdsAddBannerToLayout	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Advertising	maAdsBannerCreate	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Advertising	maAdsBannerDestroy	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Advertising	maAdsBannerGetProperty	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Advertising	maAdsBannerSetProperty	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Advertising	maAdsRemoveBannerFromLayout	Yes	Yes	No	No	N/A	No	No	No	No	NONE
C	Audio	maAudioDataCreateFromResource	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioDataCreateFromURL (file:///)	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioDataCreateFromURL (http/https)	Yes	No	No	No	No	No	No	No	No	NONE
C	Audio	maAudioDataDestroy	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioGetLength	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioGetPosition	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioInstanceCreate	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioInstanceDestroy	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioPause	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioPlay	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioPrepare	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioSetNumberOfLoops	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioSetPosition	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioSetVolume	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Audio	maAudioStop	Yes	Yes	No	No	No	No	No	No	No	NONE
C	Battery	maGetBatteryCharge	No	Yes	No	No	No	No	N/A	Yes	Yes	NONE
C	Bluetooth	maBtCancelDiscovery	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Bluetooth	maBtGetNewDevice	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Bluetooth	maBtGetNewService	No	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Bluetooth	maBtGetNextServiceSize	No	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Bluetooth	maBtStartDeviceDiscovery	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Bluetooth	maBtStartServiceDiscovery	No	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Bluetooth	MAUtil::BluetoothConnection	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Bluetooth	MAUtil::BluetoothDeviceDiscoveryListener	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Bluetooth	MAUtil::BluetoothDiscoverer	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Bluetooth	MAUtil::BluetoothListener	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Bluetooth	MAUtil::BluetoothServiceDiscoveryListener	No	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Bluetooth	MAUtil::BtDevice	Yes	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Bluetooth	MAUtil::BtService	No	N/A	N/A	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Camera	maCameraFormat	Yes	No	Yes	No	Yes	No	No	Yes	No	NONE
C	Camera	maCameraFormatNumber	Yes	No	Yes	No	Yes	No	No	Yes	No	NONE
C	Camera	maCameraGetProperty	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Camera	maCameraNumber	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Camera	maCameraRecord	No	No	No	No	No	No	No	No	No	NONE
C	Camera	maCameraSelect	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Camera	maCameraSetPreview	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Camera	maCameraSetProperty	Yes	Yes	Yes	No	No	No	No	No	No	NONE
C	Camera	maCameraSnapshot	Yes	Yes	Yes	No	Yes	No	No	Yes	No	NONE
C	Camera	maCameraStart	Yes	Yes	Yes	No	Yes	No	No	Yes	No	NONE
C	Camera	maCameraStop	Yes	Yes	Yes	No	Yes	No	No	Yes	No	NONE
HTML5	Capture	capture.captureImage	Yes	Yes	No	No	N/A	N/A	N/A	N/A	N/A	NONE
HTML5	Capture	capture.captureVideo	Yes	Yes	No	No	N/A	N/A	N/A	N/A	N/A	NONE
C	Capture	maCaptureAction	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C	Capture	maCaptureDestroyData	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C	Capture	maCaptureGetImagePath	Yes	N/A	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C	Capture	maCaptureGetProperty	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C	Capture	maCaptureGetVideoPath	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C	Capture	maCaptureSetProperty	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C	Capture	maCaptureWriteImage	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	N/A	NONE
C++	Collections	MAUtil::HashDict Key, Function	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::HashDict Key, Storage  ::ConstIterator	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::HashDict Key, Storage  ::HashNode	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::HashDict Key, Storage  ::Iterator	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::HashMap Key, Value	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::HashSet Key	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::List Type	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::List Type  ::ConstListIterator	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::List Type  ::ListIterator	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::List Type  ::ListNode	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::ListenerSet T	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::ListenerSet T  ::iterator	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::Map Key, Value	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::Pair F, Value	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::Pair F, Value	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::Set Key	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::Stack T	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Collections	MAUtil::Vector Type	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
HTML5	Connection	connection.type	Yes	Yes	Yes	No	N/A	N/A	N/A	N/A	N/A	NONE
C	Connection	maAccept	Yes	No	N/A	Yes	Yes	No	Yes	Yes	No	NONE
C	Connection	maConnClose	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Connection	maConnGetAddr	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Connection	maConnRead	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Connection	maConnReadToData	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Connection	maConnWrite	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Connection	maConnWriteFromData	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Connection	MAUtil::Connection	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Connection	MAUtil::ConnectionListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Connection	MAUtil::ConnListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Connection	MAUtil::HttpConnection	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C++	Connection	MAUtil::HttpConnectionListener	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
C	Connections	maHttpCreate	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NONE
